Geography,Geographic Area Name,Estimate!!SEX AND AGE!!Total population,Estimate!!RACE!!Total population!!One race!!White,Estimate!!RACE!!Total population!!One race!!Black or African American,Estimate!!RACE!!Total population!!One race!!Asian,Estimate!!HISPANIC OR LATINO AND RACE!!Total population,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)
8600000US12958,ZCTA5 12958,2020,1946,0,0,2020,48
8600000US12959,ZCTA5 12959,1474,1474,0,0,1474,4
8600000US12960,ZCTA5 12960,635,620,2,0,635,0
8600000US12961,ZCTA5 12961,243,141,0,0,243,33
8600000US12962,ZCTA5 12962,5084,4891,21,130,5084,20
8600000US12964,ZCTA5 12964,67,55,0,8,67,0
8600000US12965,ZCTA5 12965,537,526,0,11,537,5
8600000US12966,ZCTA5 12966,2732,2597,0,48,2732,67
8600000US12967,ZCTA5 12967,1035,1016,3,3,1035,18
8600000US12969,ZCTA5 12969,347,310,0,0,347,9
8600000US12970,ZCTA5 12970,839,750,19,45,839,19
8600000US12972,ZCTA5 12972,6611,6301,48,55,6611,169
8600000US12973,ZCTA5 12973,104,104,0,0,104,0
8600000US12974,ZCTA5 12974,2152,2040,8,0,2152,89
8600000US12975,ZCTA5 12975,217,194,8,1,217,0
8600000US12976,ZCTA5 12976,228,218,0,0,228,10
8600000US12977,ZCTA5 12977,1763,632,852,0,1763,485
8600000US12978,ZCTA5 12978,258,243,0,0,258,26
8600000US12979,ZCTA5 12979,2435,2346,7,31,2435,6
8600000US12980,ZCTA5 12980,1053,1045,0,0,1053,0
8600000US12981,ZCTA5 12981,2401,2377,0,15,2401,12
8600000US12983,ZCTA5 12983,7719,7063,327,0,7719,221
8600000US12985,ZCTA5 12985,994,954,0,0,994,35
8600000US12986,ZCTA5 12986,5928,5487,102,26,5928,224
8600000US12987,ZCTA5 12987,242,240,0,0,242,0
8600000US12989,ZCTA5 12989,1114,1037,0,52,1114,0
8600000US12992,ZCTA5 12992,3565,3465,3,7,3565,45
8600000US12993,ZCTA5 12993,1486,1445,18,2,1486,0
8600000US12996,ZCTA5 12996,2084,1908,14,6,2084,70
8600000US12997,ZCTA5 12997,1067,1028,1,7,1067,15
8600000US12998,ZCTA5 12998,313,259,0,23,313,0
8600000US13020,ZCTA5 13020,75,75,0,0,75,0
8600000US13021,ZCTA5 13021,37528,33912,1312,266,37528,1029
8600000US13024,ZCTA5 13024,1671,476,1058,0,1671,319
8600000US13026,ZCTA5 13026,1705,1524,23,22,1705,118
8600000US13027,ZCTA5 13027,33937,31939,534,320,33937,1174
8600000US13028,ZCTA5 13028,926,902,0,0,926,0
8600000US13029,ZCTA5 13029,7360,6889,0,83,7360,111
8600000US13030,ZCTA5 13030,3470,3102,0,37,3470,163
8600000US13031,ZCTA5 13031,15484,14676,170,305,15484,377
8600000US13032,ZCTA5 13032,12522,11498,30,19,12522,160
8600000US13033,ZCTA5 13033,3807,3707,3,9,3807,10
8600000US13034,ZCTA5 13034,1925,1843,11,17,1925,31
8600000US13035,ZCTA5 13035,8707,8310,204,50,8707,239
8600000US13036,ZCTA5 13036,9632,9372,77,5,9632,92
8600000US13037,ZCTA5 13037,9775,9302,75,20,9775,269
8600000US13039,ZCTA5 13039,17078,16105,196,440,17078,157
8600000US13040,ZCTA5 13040,2370,2294,7,0,2370,88
8600000US13041,ZCTA5 13041,11808,10528,399,191,11808,328
8600000US13042,ZCTA5 13042,2383,2333,0,2,2383,1
8600000US13044,ZCTA5 13044,2742,2578,0,0,2742,82
8600000US13045,ZCTA5 13045,28975,26735,933,256,28975,914
8600000US13051,ZCTA5 13051,135,135,0,0,135,0
8600000US13052,ZCTA5 13052,1626,1615,0,3,1626,4
8600000US13053,ZCTA5 13053,4861,4427,161,75,4861,193
8600000US13054,ZCTA5 13054,1500,1476,0,0,1500,0
8600000US13057,ZCTA5 13057,13126,12395,121,295,13126,206
8600000US13060,ZCTA5 13060,3050,2780,21,39,3050,47
8600000US13061,ZCTA5 13061,877,809,52,0,877,16
8600000US13062,ZCTA5 13062,37,37,0,0,37,0
8600000US13063,ZCTA5 13063,1827,1741,0,29,1827,111
8600000US13064,ZCTA5 13064,198,198,0,0,198,0
8600000US13066,ZCTA5 13066,12443,11304,277,380,12443,230
8600000US13068,ZCTA5 13068,5184,4813,58,29,5184,108
8600000US13069,ZCTA5 13069,24111,23006,334,75,24111,989
8600000US13071,ZCTA5 13071,934,882,0,21,934,45
8600000US13072,ZCTA5 13072,884,872,0,0,884,0
8600000US13073,ZCTA5 13073,6729,6163,179,51,6729,80
8600000US13074,ZCTA5 13074,4230,4093,0,10,4230,117
8600000US13076,ZCTA5 13076,2037,1981,0,0,2037,42
8600000US13077,ZCTA5 13077,6462,6310,5,130,6462,78
8600000US13078,ZCTA5 13078,10940,8548,704,1016,10940,164
